MS short,MS long,Year,Total RES share proxy,RES-E proxy,RES-H/C proxy,RES-T proxy,Unit,Data source
AT,Austria,2017,0.337172351,0.719794516,0.340881186,0.105890171,Percentages,EEA
BE,Belgium,2017,0.093804373,0.178358182,0.087346108,0.059595529,Percentages,EEA
BG,Bulgaria,2017,0.187080795,0.18804983,0.301936373,0.071790564,Percentages,EEA
CY,Cyprus,2017,0.091499271,0.09049615,0.226014263,0.02534154,Percentages,EEA
CZ,Czech Republic,2017,0.151258159,0.136021277,0.204771369,0.063422879,Percentages,EEA
DE,Germany,2017,0.151564235,0.345728509,0.128637855,0.069702942,Percentages,EEA
DK,Denmark,2017,0.337074007,0.594654444,0.429773437,0.068705009,Percentages,EEA
EE,Estonia,2017,0.275897463,0.167608037,0.48099953,0.003956964,Percentages,EEA
EL,Greece,2017,0.154898906,0.244941373,0.245054269,0.016805199,Percentages,EEA
ES,Spain,2017,0.176745339,0.36368361,0.178388019,0.057188129,Percentages,EEA
FI,Finland,2017,0.399239025,0.351663147,0.5497941,0.084493182,Percentages,EEA
FR,France,2017,0.161439893,0.199186592,0.210517563,0.087115255,Percentages,EEA
HR,Croatia,2017,0.287188032,0.492817483,0.380515936,0.013134162,Percentages,EEA
HU,Hungary,2017,0.134247915,0.071563726,0.200074212,0.055495739,Percentages,EEA
IE,Ireland,2017,0.108296783,0.300879547,0.074694829,0.071926401,Percentages,EEA
IT,Italy,2017,0.177560509,0.332267044,0.19700961,0.073983839,Percentages,EEA
LT,Lithuania,2017,0.258324371,0.182540185,0.464952886,0.036890654,Percentages,EEA
LU,Luxembourg,2017,0.056743194,0.073980852,0.073307632,0.061921778,Percentages,EEA
LV,Latvia,2017,0.381958079,0.539360289,0.532702,0.026875006,Percentages,EEA
MT,Malta,2017,0.070254111,0.056705719,0.166493984,0.067234636,Percentages,EEA
NL,Netherlands,2017,0.065475447,0.142747188,0.054338237,0.066652836,Percentages,EEA
PL,Poland,2017,0.112398456,0.14234959,0.144277988,0.045149688,Percentages,EEA
PT,Portugal,2017,0.285367728,0.526531333,0.35340432,0.083056679,Percentages,EEA
RO,Romania,2017,0.250145141,0.425648676,0.272975654,0.063617273,Percentages,EEA
SE,Sweden,2017,0.547804297,0.661341321,0.700272554,0.293630839,Percentages,EEA
SI,Slovenia,2017,0.209546361,0.318780078,0.338353356,0.015334674,Percentages,EEA
SK,Slovakia,2017,0.117926145,0.212618845,0.101930433,0.066689536,Percentages,EEA
UK,United Kingdom,2017,0.098585328,0.265014128,0.074665097,0.047397577,Percentages,EEA
EU28,EU-28,2017,0.173660707,0.306185051,0.19308964,0.071950904,Percentages,EEA
IS,Iceland,2017,0.728567334,0.958356608,0.71061149,0.073237238,Percentages,EEA
NO,Norway,2017,0.703424652,1.057052965,0.337251704,0.176927575,Percentages,EEA
